"","Object","velocity","orbits","size"
"462","(2003 QA31)",8.81433333333333,6,820
"463","(2003 QB30)",7.0730375,16,26
"464","(2003 QK5)",5.83006666666667,6,180
"465","(2003 QZ29)",7.68645,4,940
"466","(2003 RS1)",5.6203,4,270
"467","(2003 RU11)",3.54712941176471,17,47
"468","(2003 RW11)",16.6118666666667,3,1100
"469","(2003 SK5)",4.092,3,590
"470","(2003 SK84)",14.3406,2,340
"471","(2003 SL36)",9.734,1,31
"472","(2003 SL5)",4.4268,1,860
"473","(2003 SM84)",1.51738260869565,23,170
"474","(2003 SN214)",6.3302,1,170
"475","(2003 SQ15)",16.60112,5,990
"476","(2003 SR84)",6.5999,4,38
"477","(2003 SS214)",4.3803,2,590
"478","(2003 SS84)",7.87524,10,260
"479","(2003 SU84)",7.774025,8,230
"480","(2003 SW130)",5.81284444444444,9,9
"481","(2003 SY17)",14.3158,3,1400
"482","(2003 TG2)",8.42314285714286,7,340
"483","(2003 TH2)",7.6973,4,160
"484","(2003 TK1)",3.98815,4,78
"485","(2003 TK2)",10.3238857142857,7,650
"486","(2003 TM1)",10.6350666666667,12,230
"487","(2003 TO9)",6.3922,4,250
"488","(2003 TR9)",16.3866,2,340
"489","(2003 UB22)",6.045,1,82
"490","(2003 UB5)",6.24753333333333,3,820
"491","(2003 UC5)",19.7228888888889,9,570
"492","(2003 UO12)",6.4976,4,99
"493","(2003 UO25)",6.5367375,16,180
"494","(2003 UX5)",8.6118,8,520
"495","(2003 UY12)",9.53590243902439,41,160
"496","(2003 UY19)",6.3829,4,1100
"497","(2003 VE1)",7.73346666666667,3,780
"498","(2003 WC158)",6.2682,4,490
"499","(2003 WE157)",6.60506666666667,3,340
"500","(2003 WG)",18.0579428571429,7,900
"501","(2003 WH166)",8.26956,10,240
"502","(2003 WP7)",7.23182307692308,26,140
"503","(2003 WU21)",12.9929857142857,14,250
"504","(2003 XJ7)",9.00488,5,31
"505","(2003 XV)",7.0339,6,27
"506","(2003 YG136)",7.23683076923077,13,52
"507","(2003 YH111)",7.47224,5,75
"508","(2003 YJ)",6.82656470588235,17,520
"509","(2003 YL118)",8.130928,25,280
"510","(2003 YN107)",2.12722,20,30
"511","(2003 YP1)",6.4728,1,260
"512","(2003 YP17)",6.00532,5,940
"513","(2003 YP3)",14.9238769230769,13,590
"514","(2003 YS17)",5.88307058823529,17,280
"515","(2003 YS70)",2.5668,1,9
"516","(2003 YT70)",2.5792,1,41
"517","(2004 AD)",4.72174285714286,14,78
"518","(2004 AD1)",7.9484,1,190
"519","(2004 AY1)",8.35534545454545,11,340
"520","(2004 BE86)",1.7763,6,390
"521","(2004 BG41)",7.2664,4,78
"522","(2004 BJ11)",3.97265,4,270
"523","(2004 BM11)",9.30442857142857,14,260
"524","(2004 BT58)",8.85773333333333,12,230
"525","(2004 BV18)",2.2506,1,39
"526","(2004 BW18)",3.1775,4,190
"527","(2004 BX58)",6.2992,1,680
"528","(2004 BY1)",3.3356,1,75
"529","(2004 CC)",5.5862,1,110
"530","(2004 CD39)",3.0132,1,490
"531","(2004 CE39)",9.48662,10,310
"532","(2004 CO49)",6.25821111111111,18,280
"533","(2004 CS)",5.47666666666667,3,540
"534","(2004 DA53)",6.59649,20,15
"535","(2004 DK1)",3.44224,5,380
"536","(2004 DM44)",10.0564,4,430
"537","(2004 EJ1)",6.44593333333333,3,270
"538","(2004 EO20)",1.2927,14,190
"539","(2004 ER21)",4.2718,3,78
"540","(2004 EU22)",3.20201818181818,11,110
"541","(2004 FD)",13.6543578947368,19,160
"542","(2004 FE)",4.7306,1,250
"543","(2004 FF29)",9.33306666666667,9,1400
"544","(2004 FG29)",10.044,6,38
"545","(2004 FH)",5.26965555555556,18,43
"546","(2004 FJ11)",6.28266666666667,6,380
"547","(2004 FK2)",4.1354,1,82
"548","(2004 FN17)",5.6761,6,380
"549","(2004 FP4)",5.91214285714286,7,140
"550","(2004 FW1)",15.1736545454545,11,380
"551","(2004 FY31)",7.037,1,250
"552","(2004 GA)",6.12973333333333,3,570
"553","(2004 GD)",7.79678181818182,11,110
"554","(2004 HC33)",5.2824,1,38
"555","(2004 HD)",4.3028,1,65
"556","(2004 HE)",13.9004,1,26
"557","(2004 HM)",7.6043,6,140
"558","(2004 HQ1)",6.68647857142857,28,140
"559","(2004 HT59)",5.5025,2,22
"560","(2004 HX53)",6.31750476190476,21,110
"561","(2004 HZ)",7.77645333333333,15,180
"562","(2004 JN1)",3.288232,25,110
"563","(2004 JO1)",11.98615,4,390
"564","(2004 JO20)",11.1724,1,34
"565","(2004 JP1)",7.74448888888889,18,170
"566","(2004 JR1)",10.695,1,1800
"567","(2004 KA)",5.766,3,410
"568","(2004 KB)",8.12465714285714,14,380
"569","(2004 KF1)",3.9277,2,410
"570","(2004 KG1)",6.1535,24,90
"571","(2004 KZ14)",3.844,1,430
"572","(2004 LB)",11.9048086956522,23,280
"573","(2004 LB1)",8.1034,1,140
"574","(2004 LB2)",10.23,1,210
"575","(2004 LK)",5.80475,4,170
"576","(2004 LO2)",9.54289411764706,17,59
"577","(2004 LU3)",6.02268,5,1200
"578","(2004 MB6)",11.1961666666667,6,710
"579","(2004 MD)",7.69764444444444,9,570
"580","(2004 MO3)",5.39428181818182,22,220
"581","(2004 MQ6)",16.2109333333333,6,680
"582","(2004 MR1)",7.4276,1,45
"583","(2004 MW2)",15.76474,10,820
"584","(2004 MX2)",11.6622,2,820
"585","(2004 NK8)",6.2558,1,120
"586","(2004 PJ2)",5.74607142857143,14,310
"587","(2004 PM2)",4.9414,1,820
"588","(2004 PR92)",5.9241,2,57
"589","(2004 PS42)",7.986375,8,330
"590","(2004 QA2)",5.797,1,210
